#      date    value 
 2040-11-16 3.21019e-05 
 2040-12-16 3.2465e-05 
 2041-01-16 3.25556e-05 
 2041-02-15 3.23924e-05 
 2041-03-16 3.28629e-05 
 2041-04-16 3.2291e-05 
 2041-05-16 3.24512e-05 
 2041-06-16 3.30212e-05 
 2041-07-16 3.3574e-05 
 2041-08-16 3.30421e-05 
 2041-09-16 3.26171e-05 
 2041-10-16 3.16108e-05 
 2041-11-16 3.21913e-05 
 2041-12-16 3.28481e-05 
 2042-01-16 3.26328e-05 
 2042-02-15 3.26986e-05 
 2042-03-16 3.30641e-05 
 2042-04-16 3.30833e-05 
 2042-05-16 3.25789e-05 
 2042-06-16 3.39048e-05 
 2042-07-16 3.37226e-05 
 2042-08-16 3.34408e-05 
 2042-09-16 3.28347e-05 
 2042-10-16 3.183e-05 
 2042-11-16 3.2016e-05 
 2042-12-16 3.2723e-05 
 2043-01-16 3.3369e-05 
 2043-02-15 3.25767e-05 
 2043-03-16 3.22416e-05 
 2043-04-16 3.21386e-05 
 2043-05-16 3.29321e-05 
 2043-06-16 3.34018e-05 
 2043-07-16 3.3656e-05 
 2043-08-16 3.26856e-05 
 2043-09-16 3.26563e-05 
 2043-10-16 3.22279e-05 
 2043-11-16 3.22237e-05 
 2043-12-16 3.28653e-05 
 2044-01-16 3.30564e-05 
 2044-02-15 3.27475e-05 
 2044-03-16 3.2547e-05 
 2044-04-16 3.24711e-05 
 2044-05-16 3.28675e-05 
 2044-06-16 3.32959e-05 
 2044-07-16 3.38596e-05 
 2044-08-16 3.33119e-05 
 2044-09-16 3.26108e-05 
 2044-10-16 3.15582e-05 
 2044-11-16 3.19554e-05 
 2044-12-16 3.18895e-05 
 2045-01-16 3.28012e-05 
 2045-02-15 3.27543e-05 
 2045-03-16 3.23967e-05 
 2045-04-16 3.22436e-05 
 2045-05-16 3.21896e-05 
 2045-06-16 3.33318e-05 
 2045-07-16 3.31376e-05 
 2045-08-16 3.32079e-05 
 2045-09-16 3.23522e-05 
 2045-10-16 3.21024e-05 
 2045-11-16 3.21853e-05 
 2045-12-16 3.17794e-05 
 2046-01-16 3.28796e-05 
 2046-02-15 3.29867e-05 
 2046-03-16 3.26374e-05 
 2046-04-16 3.26181e-05 
 2046-05-16 3.28722e-05 
 2046-06-16 3.4081e-05 
 2046-07-16 3.33837e-05 
 2046-08-16 3.33734e-05 
 2046-09-16 3.21609e-05 
 2046-10-16 3.20605e-05 
 2046-11-16 3.18833e-05 
 2046-12-16 3.19999e-05 
 2047-01-16 3.24676e-05 
 2047-02-15 3.23752e-05 
 2047-03-16 3.26418e-05 
 2047-04-16 3.22785e-05 
 2047-05-16 3.28268e-05 
 2047-06-16 3.35452e-05 
 2047-07-16 3.33256e-05 
 2047-08-16 3.31508e-05 
 2047-09-16 3.27972e-05 
 2047-10-16 3.15112e-05 
 2047-11-16 3.22793e-05 
 2047-12-16 3.28523e-05 
 2048-01-16 3.28256e-05 
 2048-02-15 3.24434e-05 
 2048-03-16 3.27199e-05 
 2048-04-16 3.28825e-05 
 2048-05-16 3.30154e-05 
 2048-06-16 3.37696e-05 
 2048-07-16 3.35355e-05 
 2048-08-16 3.34331e-05 
 2048-09-16 3.25712e-05 
 2048-10-16 3.15944e-05 
 2048-11-16 3.2379e-05 
 2048-12-16 3.25967e-05 
 2049-01-16 3.21641e-05 
 2049-02-15 3.29687e-05 
 2049-03-16 3.24823e-05 
 2049-04-16 3.23094e-05 
 2049-05-16 3.1962e-05 
 2049-06-16 3.32104e-05 
 2049-07-16 3.36344e-05 
 2049-08-16 3.31156e-05 
 2049-09-16 3.25671e-05 
 2049-10-16 3.16816e-05 
